,SB1: Wide Buffer (No Swap),Swap10: Force Swap (Cap 10),Swap15: Force Swap (Cap 15),Swap20: Force Swap (Cap 20),Swap25: Force Swap (Cap 25),Swap30: Force Swap (Cap 30),S&P 500
2023-07-05,144023.97973823547,144184.14756679535,144475.2093334198,147801.79821777344,142087.82222270966,135149.30988788605,124597.49150994472
2023-07-06,142149.681142807,142602.96745967865,142648.21078681946,146019.56816482544,140428.16313266754,133788.4854402542,123621.80517122796
2023-07-07,142632.50682258606,142779.39351177216,143135.00526618958,146520.73425483704,140919.32351398468,134198.97372341156,123309.71241413485
2023-07-10,144000.89758872986,144796.13082027435,144836.44945716858,148091.2883090973,142475.25982189178,135566.05943012238,123621.80517122796
2023-07-11,144985.98649024963,145306.00399303436,145366.9148426056,148930.84345817566,144090.37153720856,136878.93102645874,124409.0982666918
2023-07-12,146394.4257106781,146803.76557064056,146483.4417591095,149792.02870750427,144636.70864582062,137306.38602924347,125410.0879868387
2023-07-13,146927.6871395111,146947.56981563568,146912.12272834778,150765.77526283264,147054.3213262558,139234.42235469818,126405.451780092
2023-07-14,146712.5067691803,147002.43775463104,146460.40568351746,149774.8880443573,146066.49489307404,138422.56549358368,126326.7242424911
2023-07-17,149111.0423259735,149543.3585653305,148807.14159202576,152315.81709098816,148112.3327207565,140142.80324172974,126765.36934564446
2023-07-18,149452.1328983307,149062.4411458969,149505.96272087097,153328.7599697113,148761.4341363907,140635.64940071106,127707.3001229996
2023-07-19,148971.6537914276,148649.44000911713,148924.5906162262,153166.5617275238,149348.43525791168,141081.59549045563,127991.28096507948
2023-07-20,148518.51789283752,148130.7125082016,147567.50428581238,151805.05277442932,147747.42117404938,139805.90407466888,127142.13811269555
2023-07-21,149279.62691307068,148817.8875951767,147795.6507587433,151913.9135799408,147978.73835468292,140007.3334465027,127142.13811269555
2023-07-24,148997.88126945496,148606.17897701263,147816.8283214569,152011.20883750916,148088.824303627,140084.1065940857,127710.1175163101
2023-07-25,149534.9798564911,149519.98965358734,148537.94183540344,152102.04182624817,148238.74982357025,140276.41071224213,128058.76550862056
